date,tweet
2020-09-16 16:50:51,https://t.co/guuSRObhVn
2020-09-16 16:50:35,https://t.co/gerF8Tfi5B
2020-09-16 16:50:27,https://t.co/6EnmosRoXP
2020-09-16 16:50:17,https://t.co/ZDLWw4PLsu
2020-09-16 16:50:01,https://t.co/9o0xUXKj2S
2020-09-16 16:49:51,https://t.co/ELulFjyVBN
2020-09-16 16:49:42,https://t.co/PiSyc9HyRQ
2020-09-16 16:49:31,https://t.co/L3m5VMTapA
2020-09-16 16:49:18,https://t.co/7YChA4PwwP
2020-09-16 16:49:07,https://t.co/57R1vrovXS
2020-09-16 16:48:56,https://t.co/Yoo8GJcrXf
2020-09-16 16:48:44,https://t.co/Gw0TywMfBz
2020-09-16 16:48:34,https://t.co/GNUpYu5sWl
2020-09-16 16:48:12,https://t.co/fWyvbJksyT
2020-09-16 16:48:05,https://t.co/TeizaEq3Wg
2020-09-16 16:47:57,https://t.co/CvdIXcDkiF
2020-09-16 16:47:42,https://t.co/OUhgFNHYGQ
2020-09-16 16:47:31,https://t.co/9bVLN0hRuZ
2020-09-16 16:47:15,https://t.co/8vfn3ZCMTG
2020-09-16 16:46:57,https://t.co/VvM1qTp3RD
2020-09-16 16:46:47,https://t.co/PMvaJzzcwc
2020-09-16 16:46:37,https://t.co/PAQWUVPFNI
2020-09-16 16:46:27,https://t.co/i0XKTTv0RX
2020-09-16 16:46:18,https://t.co/14uLu22HGo
2020-09-16 16:46:03,https://t.co/BL9wGDlpkM
2020-09-16 16:45:54,https://t.co/17sIYWXlD7
2020-09-16 16:45:06,https://t.co/iTdb0ViMI2
2020-09-16 16:44:54,https://t.co/f14kQ7vQyg
2020-09-16 16:44:46,https://t.co/UZb3uusChE
2020-09-16 16:44:37,https://t.co/pypG5XgTS1
2020-09-16 16:44:27,https://t.co/BjjBPv8JnM
2020-09-16 16:44:18,https://t.co/E543l23LJf
2020-09-16 16:44:06,https://t.co/hWmdmNBVGr
2020-09-16 16:43:56,https://t.co/G8kpUCnPM1
2020-09-16 16:43:47,https://t.co/HlbONH7z8m
2020-09-16 16:43:38,https://t.co/CHn6J5mR8z
2020-09-16 16:43:31,https://t.co/YpPAtr7T2q
2020-09-16 16:43:18,https://t.co/2Kv22HlNjB
2020-09-16 16:43:06,https://t.co/Msc1xQyQw4
2020-09-16 16:42:57,https://t.co/lzFoGVb6rN
2020-09-16 16:42:46,https://t.co/0umFtOOay7
2020-09-16 16:42:36,https://t.co/tvrMYjsYns
2020-09-16 16:42:26,https://t.co/Ll35rSjSKH
2020-09-16 16:42:17,https://t.co/yhQ2hxHUBK
2020-09-16 16:42:07,https://t.co/gbVW7uJ4oI
2020-09-16 16:41:56,https://t.co/MiwT9sHjDh
2020-09-16 16:41:45,https://t.co/Eiwdr7G3xD
2020-09-16 16:41:38,https://t.co/9MB7s2coPN
2020-09-16 16:41:30,https://t.co/YKpcxxFyMu
2020-09-16 16:41:21,https://t.co/AWMjDEMo5q
2020-09-16 16:41:12,https://t.co/MSEFCKAI2R
2020-09-16 16:41:03,https://t.co/tN65fLniQe
2020-09-16 16:40:50,https://t.co/60rRJ7kOo7
2020-09-16 16:40:36,https://t.co/itvlz8TSSS
2020-09-16 16:40:27,https://t.co/qXMB3E07br
2020-09-16 16:40:18,https://t.co/L5jbV0FJZ2
2020-09-16 16:40:08,https://t.co/4wpu7eYD4X
2020-09-16 16:39:59,https://t.co/UUebeVrdx1
2020-09-16 16:39:48,https://t.co/9RKJfhhk4j
2020-09-16 16:39:32,https://t.co/0l0TjmELhg
2020-09-16 16:39:19,https://t.co/tHRlGFMBUd
2020-09-16 16:39:09,https://t.co/Cc2zHfi3pY
2020-09-16 16:39:01,https://t.co/UY7cOGGWZR
2020-09-16 16:38:53,https://t.co/s0IBMKHTwa
2020-09-16 16:38:42,https://t.co/U3yuzjZggS
2020-09-16 16:38:33,https://t.co/IMOfkL7yGY
2020-09-16 16:38:22,https://t.co/o0oMOgSXC5
2020-09-16 16:38:10,https://t.co/SDNvkzO9LN
2020-09-16 16:37:56,https://t.co/5C4ouw5e3k
2020-09-16 16:37:46,https://t.co/qNDz2MgLHz
2020-09-16 16:37:34,https://t.co/wC1X2Kom0z
2020-09-16 16:37:24,https://t.co/0gadyQLQIS
2020-09-16 16:37:14,https://t.co/T68Kwp2TY9
2020-09-16 16:37:06,https://t.co/rmXwfPaKxP
2020-09-16 16:36:57,https://t.co/ibZmOCA6cc
2020-09-16 16:36:46,https://t.co/Htz60HJ7IB
2020-09-16 16:36:37,https://t.co/K4RkUwJmnT
2020-09-16 16:36:27,https://t.co/IXjGqOFxp1
2020-09-16 16:36:19,https://t.co/MMT9rhgWGv
2020-09-16 16:36:12,https://t.co/yQ4849pNvy
2020-09-16 16:36:04,https://t.co/cuLDhItcge
2020-09-16 16:35:54,https://t.co/yjRTtiBjNA
